Block SCALES
1 10000	# UV scale [GeV]
1 3 3 2 0.000000	# lq3(1,3,3,2)
1 3 3 3 0.000000	# lq3(1,3,3,3)
2 2 1 1 0.000000	# lq3(2,2,1,1)
2 2 1 2 0.000000	# lq3(2,2,1,2)
2 2 1 3 -0.003734	# lq3(2,2,1,3)
2 2 2 2 0.000000	# lq3(2,2,2,2)
2 2 2 3 0.000000	# lq3(2,2,2,3)
2 2 3 3 0.000000	# lq3(2,2,3,3)
2 3 1 1 0.000000	# lq3(2,3,1,1)
2 3 1 2 0.000000	# lq3(2,3,1,2)
2 3 1 3 0.000000	# lq3(2,3,1,3)
2 3 2 1 0.000000	# lq3(2,3,2,1)
2 3 2 2 0.000000	# lq3(2,3,2,2)
2 3 2 3 0.000000	# lq3(2,3,2,3)
2 3 3 1 0.000000	# lq3(2,3,3,1)
2 3 3 2 0.000000	# lq3(2,3,3,2)
2 3 3 3 0.000000	# lq3(2,3,3,3)
3 3 1 1 0.000000	# lq3(3,3,1,1)
3 3 1 2 0.000000	# lq3(3,3,1,2)
3 3 1 3 -0.003731	# lq3(3,3,1,3)
3 3 2 2 0.000000	# lq3(3,3,2,2)
3 3 2 3 0.000000	# lq3(3,3,2,3)
3 3 3 3 0.000000	# lq3(3,3,3,3)
Block IMWCLQ3
1 1 1 2 0.000000	# lq3(1,1,1,2)
1 1 1 3 0.000000	# lq3(1,1,1,3)
1 1 2 3 0.000000	# lq3(1,1,2,3)
1 2 1 1 0.000000	# lq3(1,2,1,1)
1 2 1 2 0.000000	# lq3(1,2,1,2)
1 2 1 3 0.000000	# lq3(1,2,1,3)
1 2 2 1 0.000000	# lq3(1,2,2,1)
1 2 2 2 0.000000	# lq3(1,2,2,2)
1 2 2 3 0.000000	# lq3(1,2,2,3)
1 2 3 1 0.000000	# lq3(1,2,3,1)
1 2 3 2 0.000000	# lq3(1,2,3,2)
1 2 3 3 0.000000	# lq3(1,2,3,3)
1 3 1 1 0.000000	# lq3(1,3,1,1)
1 3 1 2 0.000000	# lq3(1,3,1,2)
1 3 1 3 0.000000	# lq3(1,3,1,3)
1 3 2 1 0.000000	# lq3(1,3,2,1)
1 3 2 2 0.000000	# lq3(1,3,2,2)
1 3 2 3 0.000000	# lq3(1,3,2,3)
1 3 3 1 0.000000	# lq3(1,3,3,1)
1 3 3 2 0.000000	# lq3(1,3,3,2)
1 3 3 3 0.000000	# lq3(1,3,3,3)
2 2 1 2 0.000000	# lq3(2,2,1,2)
2 2 1 3 0.000000	# lq3(2,2,1,3)
2 2 2 3 0.000000	# lq3(2,2,2,3)
2 3 1 1 0.000000	# lq3(2,3,1,1)
2 3 1 2 0.000000	# lq3(2,3,1,2)
2 3 1 3 0.000000	# lq3(2,3,1,3)
2 3 2 1 0.000000	# lq3(2,3,2,1)
2 3 2 2 0.000000	# lq3(2,3,2,2)
2 3 2 3 0.000000	# lq3(2,3,2,3)
2 3 3 1 0.000000	# lq3(2,3,3,1)
2 3 3 2 0.000000	# lq3(2,3,3,2)
2 3 3 3 0.000000	# lq3(2,3,3,3)
3 3 1 2 0.000000	# lq3(3,3,1,2)
3 3 1 3 0.000000	# lq3(3,3,1,3)
3 3 2 3 0.000000	# lq3(3,3,2,3)
Block WCEE
1 1 1 1 0.000000	# ee(1,1,1,1)
1 1 1 2 0.000000	# ee(1,1,1,2)
1 1 1 3 0.000000	# ee(1,1,1,3)
1 1 2 2 0.000000	# ee(1,1,2,2)
1 1 2 3 0.000000	# ee(1,1,2,3)
1 1 3 3 0.000000	# ee(1,1,3,3)
1 2 1 2 0.000000	# ee(1,2,1,2)
1 2 1 3 0.000000	# ee(1,2,1,3)
1 2 2 2 0.000000	# ee(1,2,2,2)
1 2 2 3 0.000000	# ee(1,2,2,3)
1 2 3 2 0.000000	# ee(1,2,3,2)
1 2 3 3 0.000000	# ee(1,2,3,3)
1 3 1 3 0.000000	# ee(1,3,1,3)
1 3 2 3 0.000000	# ee(1,3,2,3)
1 3 3 3 0.000000	# ee(1,3,3,3)
2 2 2 2 0.000000	# ee(2,2,2,2)
2 2 2 3 0.000000	# ee(2,2,2,3)
2 2 3 3 0.000000	# ee(2,2,3,3)
2 3 2 3 0.000000	# ee(2,3,2,3)
2 3 3 3 0.000000	# ee(2,3,3,3)
3 3 3 3 0.000000	# ee(3,3,3,3)
Block IMWCEE
1 1 1 2 0.000000	# ee(1,1,1,2)
1 1 1 3 0.000000	# ee(1,1,1,3)
1 1 2 3 0.000000	# ee(1,1,2,3)
1 2 1 2 0.000000	# ee(1,2,1,2)
1 2 1 3 0.000000	# ee(1,2,1,3)
1 2 2 2 0.000000	# ee(1,2,2,2)
1 2 2 3 0.000000	# ee(1,2,2,3)
1 2 3 2 0.000000	# ee(1,2,3,2)
1 2 3 3 0.000000	# ee(1,2,3,3)
1 3 1 3 0.000000	# ee(1,3,1,3)
1 3 2 3 0.000000	# ee(1,3,2,3)
1 3 3 3 0.000000	# ee(1,3,3,3)
2 2 2 3 0.000000	# ee(2,2,2,3)
2 3 2 3 0.000000	# ee(2,3,2,3)
2 3 3 3 0.000000	# ee(2,3,3,3)
Block WCUU
1 1 1 1 0.000000	# uu(1,1,1,1)
1 1 1 2 0.000000	# uu(1,1,1,2)
1 1 1 3 0.000000	# uu(1,1,1,3)
1 1 2 2 0.000000	# uu(1,1,2,2)
1 1 2 3 0.000000	# uu(1,1,2,3)
1 1 3 3 0.000000	# uu(1,1,3,3)
1 2 1 2 0.000000	# uu(1,2,1,2)
1 2 1 3 0.000000	# uu(1,2,1,3)
1 2 2 1 0.000000	# uu(1,2,2,1)
1 2 2 2 0.000000	# uu(1,2,2,2)
1 2 2 3 0.000000	# uu(1,2,2,3)
1 2 3 1 0.000000	# uu(1,2,3,1)
1 2 3 2 0.000000	# uu(1,2,3,2)
1 2 3 3 0.000000	# uu(1,2,3,3)
1 3 1 3 0.000000	# uu(1,3,1,3)
1 3 2 2 0.000000	# uu(1,3,2,2)
1 3 2 3 0.000000	# uu(1,3,2,3)
1 3 3 1 0.000000	# uu(1,3,3,1)
1 3 3 2 0.000000	# uu(1,3,3,2)
1 3 3 3 0.000000	# uu(1,3,3,3)
2 2 2 2 0.000000	# uu(2,2,2,2)
2 2 2 3 0.000000	# uu(2,2,2,3)
2 2 3 3 0.000000	# uu(2,2,3,3)
2 3 2 3 0.000000	# uu(2,3,2,3)
2 3 3 2 0.000000	# uu(2,3,3,2)
2 3 3 3 0.000000	# uu(2,3,3,3)
3 3 3 3 0.000000	# uu(3,3,3,3)
Block IMWCUU
1 1 1 2 0.000000	# uu(1,1,1,2)
1 1 1 3 0.000000	# uu(1,1,1,3)
1 1 2 3 0.000000	# uu(1,1,2,3)
1 2 1 2 0.000000	# uu(1,2,1,2)
1 2 1 3 0.000000	# uu(1,2,1,3)
1 2 2 2 0.000000	# uu(1,2,2,2)
1 2 2 3 0.000000	# uu(1,2,2,3)
1 2 3 1 0.000000	# uu(1,2,3,1)
1 2 3 2 0.000000	# uu(1,2,3,2)
1 2 3 3 0.000000	# uu(1,2,3,3)
1 3 1 3 0.000000	# uu(1,3,1,3)
1 3 2 2 0.000000	# uu(1,3,2,2)
1 3 2 3 0.000000	# uu(1,3,2,3)
1 3 3 2 0.000000	# uu(1,3,3,2)
1 3 3 3 0.000000	# uu(1,3,3,3)
2 2 2 3 0.000000	# uu(2,2,2,3)
2 3 2 3 0.000000	# uu(2,3,2,3)
2 3 3 3 0.000000	# uu(2,3,3,3)
Block WCDD
1 1 1 1 0.000000	# dd(1,1,1,1)
1 1 1 2 0.000000	# dd(1,1,1,2)
1 1 1 3 0.000000	# dd(1,1,1,3)
1 1 2 2 0.000000	# dd(1,1,2,2)
1 1 2 3 0.000000	# dd(1,1,2,3)
1 1 3 3 0.000000	# dd(1,1,3,3)
1 2 1 2 0.000000	# dd(1,2,1,2)
1 2 1 3 0.000000	# dd(1,2,1,3)
1 2 2 1 0.000000	# dd(1,2,2,1)
1 2 2 2 0.000000	# dd(1,2,2,2)
1 2 2 3 0.000000	# dd(1,2,2,3)
1 2 3 1 0.000000	# dd(1,2,3,1)
1 2 3 2 9.809277E-12	# dd(1,2,3,2)
1 2 3 3 0.000000	# dd(1,2,3,3)
1 3 1 3 0.000000	# dd(1,3,1,3)
1 3 2 2 0.000000	# dd(1,3,2,2)
1 3 2 3 -9.639509E-15	# dd(1,3,2,3)
1 3 3 1 0.000000	# dd(1,3,3,1)
1 3 3 2 0.000000	# dd(1,3,3,2)
1 3 3 3 0.000000	# dd(1,3,3,3)
2 2 2 2 0.000000	# dd(2,2,2,2)
2 2 2 3 -1.033862E-9	# dd(2,2,2,3)
2 2 3 3 0.000000	# dd(2,2,3,3)
2 3 2 3 0.910375	# dd(2,3,2,3)
2 3 3 2 0.000000	# dd(2,3,3,2)
2 3 3 3 -1.033862E-9	# dd(2,3,3,3)
3 3 3 3 0.000000	# dd(3,3,3,3)
Block IMWCDD
1 1 1 2 0.000000	# dd(1,1,1,2)
1 1 1 3 0.000000	# dd(1,1,1,3)
1 1 2 3 0.000000	# dd(1,1,2,3)
1 2 1 2 0.000000	# dd(1,2,1,2)
1 2 1 3 0.000000	# dd(1,2,1,3)
1 2 2 2 0.000000	# dd(1,2,2,2)
1 2 2 3 0.000000	# dd(1,2,2,3)
1 2 3 1 0.000000	# dd(1,2,3,1)
1 2 3 2 0.000000	# dd(1,2,3,2)
1 2 3 3 0.000000	# dd(1,2,3,3)
1 3 1 3 0.000000	# dd(1,3,1,3)
1 3 2 2 0.000000	# dd(1,3,2,2)
1 3 2 3 3.984561E-12	# dd(1,3,2,3)
1 3 3 2 0.000000	# dd(1,3,3,2)
1 3 3 3 0.000000	# dd(1,3,3,3)
2 2 2 3 0.000000	# dd(2,2,2,3)
2 3 2 3 -3.975125E-15	# dd(2,3,2,3)
2 3 3 3 0.000000	# dd(2,3,3,3)
Block WCEU
1 1 1 1 0.000000	# eu(1,1,1,1)
1 1 1 2 0.000000	# eu(1,1,1,2)
1 1 1 3 0.000000	# eu(1,1,1,3)
1 1 2 2 0.000000	# eu(1,1,2,2)
1 1 2 3 0.000000	# eu(1,1,2,3)
1 1 3 3 0.000000	# eu(1,1,3,3)
1 2 1 1 0.000000	# eu(1,2,1,1)
1 2 1 2 0.000000	# eu(1,2,1,2)
1 2 1 3 0.000000	# eu(1,2,1,3)
1 2 2 1 0.000000	# eu(1,2,2,1)
1 2 2 2 0.000000	# eu(1,2,2,2)
1 2 2 3 0.000000	# eu(1,2,2,3)
1 2 3 1 0.000000	# eu(1,2,3,1)
1 2 3 2 0.000000	# eu(1,2,3,2)
1 2 3 3 0.000000	# eu(1,2,3,3)
1 3 1 1 0.000000	# eu(1,3,1,1)
1 3 1 2 0.000000	# eu(1,3,1,2)
1 3 1 3 0.000000	# eu(1,3,1,3)
1 3 2 1 0.000000	# eu(1,3,2,1)
1 3 2 2 0.000000	# eu(1,3,2,2)
1 3 2 3 0.000000	# eu(1,3,2,3)
1 3 3 1 0.000000	# eu(1,3,3,1)
1 3 3 2 0.000000	# eu(1,3,3,2)
1 3 3 3 0.000000	# eu(1,3,3,3)
2 2 1 1 0.000000	# eu(2,2,1,1)
2 2 1 2 0.000000	# eu(2,2,1,2)
2 2 1 3 0.000000	# eu(2,2,1,3)
2 2 2 2 0.000000	# eu(2,2,2,2)
2 2 2 3 0.000000	# eu(2,2,2,3)
2 2 3 3 0.000000	# eu(2,2,3,3)
2 3 1 1 0.000000	# eu(2,3,1,1)
2 3 1 2 0.000000	# eu(2,3,1,2)
2 3 1 3 0.000000	# eu(2,3,1,3)
2 3 2 1 0.000000	# eu(2,3,2,1)
2 3 2 2 0.000000	# eu(2,3,2,2)
2 3 2 3 0.000000	# eu(2,3,2,3)
2 3 3 1 0.000000	# eu(2,3,3,1)
2 3 3 2 0.000000	# eu(2,3,3,2)
2 3 3 3 0.000000	# eu(2,3,3,3)
3 3 1 1 0.000000	# eu(3,3,1,1)
3 3 1 2 0.000000	# eu(3,3,1,2)
3 3 1 3 0.000000	# eu(3,3,1,3)
3 3 2 2 0.000000	# eu(3,3,2,2)
3 3 2 3 0.000000	# eu(3,3,2,3)
3 3 3 3 0.000000	# eu(3,3,3,3)
Block IMWCEU
1 1 1 2 0.000000	# eu(1,1,1,2)
1 1 1 3 0.000000	# eu(1,1,1,3)
1 1 2 3 0.000000	# eu(1,1,2,3)
1 2 1 1 0.000000	# eu(1,2,1,1)
1 2 1 2 0.000000	# eu(1,2,1,2)
1 2 1 3 0.000000	# eu(1,2,1,3)
1 2 2 1 0.000000	# eu(1,2,2,1)
1 2 2 2 0.000000	# eu(1,2,2,2)
1 2 2 3 0.000000	# eu(1,2,2,3)
1 2 3 1 0.000000	# eu(1,2,3,1)
1 2 3 2 0.000000	# eu(1,2,3,2)
1 2 3 3 0.000000	# eu(1,2,3,3)
1 3 1 1 0.000000	# eu(1,3,1,1)
1 3 1 2 0.000000	# eu(1,3,1,2)
1 3 1 3 0.000000	# eu(1,3,1,3)
1 3 2 1 0.000000	# eu(1,3,2,1)
1 3 2 2 0.000000	# eu(1,3,2,2)
1 3 2 3 0.000000	# eu(1,3,2,3)
1 3 3 1 0.000000	# eu(1,3,3,1)
1 3 3 2 0.000000	# eu(1,3,3,2)
1 3 3 3 0.000000	# eu(1,3,3,3)
2 2 1 2 0.000000	# eu(2,2,1,2)
2 2 1 3 0.000000	# eu(2,2,1,3)
2 2 2 3 0.000000	# eu(2,2,2,3)
2 3 1 1 0.000000	# eu(2,3,1,1)
2 3 1 2 0.000000	# eu(2,3,1,2)
2 3 1 3 0.000000	# eu(2,3,1,3)
2 3 2 1 0.000000	# eu(2,3,2,1)
2 3 2 2 0.000000	# eu(2,3,2,2)
2 3 2 3 0.000000	# eu(2,3,2,3)
2 3 3 1 0.000000	# eu(2,3,3,1)
2 3 3 2 0.000000	# eu(2,3,3,2)
2 3 3 3 0.000000	# eu(2,3,3,3)
3 3 1 2 0.000000	# eu(3,3,1,2)
3 3 1 3 0.000000	# eu(3,3,1,3)
3 3 2 3 0.000000	# eu(3,3,2,3)
Block WCED
1 1 1 1 0.000000	# ed(1,1,1,1)
1 1 1 2 0.000000	# ed(1,1,1,2)
1 1 1 3 0.000000	# ed(1,1,1,3)
1 1 2 2 0.000000	# ed(1,1,2,2)
1 1 2 3 0.000000	# ed(1,1,2,3)
1 1 3 3 0.000000	# ed(1,1,3,3)
1 2 1 1 0.000000	# ed(1,2,1,1)
1 2 1 2 0.000000	# ed(1,2,1,2)
1 2 1 3 0.000000	# ed(1,2,1,3)
1 2 2 1 0.000000	# ed(1,2,2,1)
1 2 2 2 0.000000	# ed(1,2,2,2)
1 2 2 3 0.000000	# ed(1,2,2,3)
1 2 3 1 0.000000	# ed(1,2,3,1)
1 2 3 2 0.000000	# ed(1,2,3,2)
1 2 3 3 0.000000	# ed(1,2,3,3)
1 3 1 1 0.000000	# ed(1,3,1,1)
1 3 1 2 0.000000	# ed(1,3,1,2)
1 3 1 3 0.000000	# ed(1,3,1,3)
1 3 2 1 0.000000	# ed(1,3,2,1)
1 3 2 2 0.000000	# ed(1,3,2,2)
1 3 2 3 0.000000	# ed(1,3,2,3)
1 3 3 1 0.000000	# ed(1,3,3,1)
1 3 3 2 0.000000	# ed(1,3,3,2)
1 3 3 3 0.000000	# ed(1,3,3,3)
2 2 1 1 0.000000	# ed(2,2,1,1)
2 2 1 2 0.000000	# ed(2,2,1,2)
2 2 1 3 0.000000	# ed(2,2,1,3)
2 2 2 2 0.000000	# ed(2,2,2,2)
2 2 2 3 0.000000	# ed(2,2,2,3)
2 2 3 3 0.000000	# ed(2,2,3,3)
2 3 1 1 0.000000	# ed(2,3,1,1)
2 3 1 2 0.000000	# ed(2,3,1,2)
2 3 1 3 0.000000	# ed(2,3,1,3)
2 3 2 1 0.000000	# ed(2,3,2,1)
2 3 2 2 0.000000	# ed(2,3,2,2)
2 3 2 3 0.000000	# ed(2,3,2,3)
2 3 3 1 0.000000	# ed(2,3,3,1)
2 3 3 2 0.000000	# ed(2,3,3,2)
2 3 3 3 0.000000	# ed(2,3,3,3)
3 3 1 1 0.000000	# ed(3,3,1,1)
3 3 1 2 0.000000	# ed(3,3,1,2)
3 3 1 3 0.000000	# ed(3,3,1,3)
3 3 2 2 0.000000	# ed(3,3,2,2)
3 3 2 3 0.000000	# ed(3,3,2,3)
3 3 3 3 0.000000	# ed(3,3,3,3)
Block IMWCED
1 1 1 2 0.000000	# ed(1,1,1,2)
1 1 1 3 0.000000	# ed(1,1,1,3)
1 1 2 3 0.000000	# ed(1,1,2,3)
1 2 1 1 0.000000	# ed(1,2,1,1)
1 2 1 2 0.000000	# ed(1,2,1,2)
1 2 1 3 0.000000	# ed(1,2,1,3)
1 2 2 1 0.000000	# ed(1,2,2,1)
1 2 2 2 0.000000	# ed(1,2,2,2)
1 2 2 3 0.000000	# ed(1,2,2,3)
1 2 3 1 0.000000	# ed(1,2,3,1)
1 2 3 2 0.000000	# ed(1,2,3,2)
1 2 3 3 0.000000	# ed(1,2,3,3)
1 3 1 1 0.000000	# ed(1,3,1,1)
1 3 1 2 0.000000	# ed(1,3,1,2)
1 3 1 3 0.000000	# ed(1,3,1,3)
1 3 2 1 0.000000	# ed(1,3,2,1)
1 3 2 2 0.000000	# ed(1,3,2,2)
1 3 2 3 0.000000	# ed(1,3,2,3)
1 3 3 1 0.000000	# ed(1,3,3,1)
1 3 3 2 0.000000	# ed(1,3,3,2)
1 3 3 3 0.000000	# ed(1,3,3,3)
2 2 1 2 0.000000	# ed(2,2,1,2)
2 2 1 3 0.000000	# ed(2,2,1,3)
2 2 2 3 0.000000	# ed(2,2,2,3)
2 3 1 1 0.000000	# ed(2,3,1,1)
2 3 1 2 0.000000	# ed(2,3,1,2)
2 3 1 3 0.000000	# ed(2,3,1,3)
2 3 2 1 0.000000	# ed(2,3,2,1)
2 3 2 2 0.000000	# ed(2,3,2,2)
2 3 2 3 0.000000	# ed(2,3,2,3)
2 3 3 1 0.000000	# ed(2,3,3,1)
2 3 3 2 0.000000	# ed(2,3,3,2)
2 3 3 3 0.000000	# ed(2,3,3,3)
3 3 1 2 0.000000	# ed(3,3,1,2)
3 3 1 3 0.000000	# ed(3,3,1,3)
3 3 2 3 0.000000	# ed(3,3,2,3)
Block WCUD1
1 1 1 1 0.000000	# ud1(1,1,1,1)
1 1 1 2 0.000000	# ud1(1,1,1,2)
1 1 1 3 0.000000	# ud1(1,1,1,3)
1 1 2 2 0.000000	# ud1(1,1,2,2)
1 1 2 3 0.000000	# ud1(1,1,2,3)
1 1 3 3 0.000000	# ud1(1,1,3,3)
1 2 1 1 0.000000	# ud1(1,2,1,1)
1 2 1 2 0.000000	# ud1(1,2,1,2)
1 2 1 3 0.000000	# ud1(1,2,1,3)
1 2 2 1 0.000000	# ud1(1,2,2,1)
1 2 2 2 0.000000	# ud1(1,2,2,2)
1 2 2 3 0.000000	# ud1(1,2,2,3)
1 2 3 1 0.000000	# ud1(1,2,3,1)
1 2 3 2 0.000000	# ud1(1,2,3,2)
1 2 3 3 0.000000	# ud1(1,2,3,3)
1 3 1 1 0.000000	# ud1(1,3,1,1)
1 3 1 2 0.000000	# ud1(1,3,1,2)
1 3 1 3 0.000000	# ud1(1,3,1,3)
1 3 2 1 0.000000	# ud1(1,3,2,1)
1 3 2 2 0.000000	# ud1(1,3,2,2)
1 3 2 3 0.000000	# ud1(1,3,2,3)
1 3 3 1 0.000000	# ud1(1,3,3,1)
1 3 3 2 0.000000	# ud1(1,3,3,2)
1 3 3 3 0.000000	# ud1(1,3,3,3)
2 2 1 1 0.000000	# ud1(2,2,1,1)
2 2 1 2 0.000000	# ud1(2,2,1,2)
2 2 1 3 0.000000	# ud1(2,2,1,3)
2 2 2 2 0.000000	# ud1(2,2,2,2)
2 2 2 3 0.000000	# ud1(2,2,2,3)
2 2 3 3 0.000000	# ud1(2,2,3,3)
2 3 1 1 0.000000	# ud1(2,3,1,1)
2 3 1 2 0.000000	# ud1(2,3,1,2)
2 3 1 3 0.000000	# ud1(2,3,1,3)
2 3 2 1 0.000000	# ud1(2,3,2,1)
2 3 2 2 0.000000	# ud1(2,3,2,2)
2 3 2 3 0.000000	# ud1(2,3,2,3)
2 3 3 1 0.000000	# ud1(2,3,3,1)
2 3 3 2 0.000000	# ud1(2,3,3,2)
2 3 3 3 0.000000	# ud1(2,3,3,3)
3 3 1 1 0.000000	# ud1(3,3,1,1)
3 3 1 2 0.000000	# ud1(3,3,1,2)
3 3 1 3 0.000000	# ud1(3,3,1,3)
3 3 2 2 0.000000	# ud1(3,3,2,2)
3 3 2 3 0.000000	# ud1(3,3,2,3)
3 3 3 3 0.000000	# ud1(3,3,3,3)
Block IMWCUD1
1 1 1 2 0.000000	# ud1(1,1,1,2)
1 1 1 3 0.000000	# ud1(1,1,1,3)
1 1 2 3 0.000000	# ud1(1,1,2,3)
1 2 1 1 0.000000	# ud1(1,2,1,1)
1 2 1 2 0.000000	# ud1(1,2,1,2)
1 2 1 3 0.000000	# ud1(1,2,1,3)
1 2 2 1 0.000000	# ud1(1,2,2,1)
1 2 2 2 0.000000	# ud1(1,2,2,2)
1 2 2 3 0.000000	# ud1(1,2,2,3)
1 2 3 1 0.000000	# ud1(1,2,3,1)
1 2 3 2 0.000000	# ud1(1,2,3,2)
1 2 3 3 0.000000	# ud1(1,2,3,3)
1 3 1 1 0.000000	# ud1(1,3,1,1)
1 3 1 2 0.000000	# ud1(1,3,1,2)
1 3 1 3 0.000000	# ud1(1,3,1,3)
1 3 2 1 0.000000	# ud1(1,3,2,1)
1 3 2 2 0.000000	# ud1(1,3,2,2)
1 3 2 3 0.000000	# ud1(1,3,2,3)
1 3 3 1 0.000000	# ud1(1,3,3,1)
1 3 3 2 0.000000	# ud1(1,3,3,2)
1 3 3 3 0.000000	# ud1(1,3,3,3)
2 2 1 2 0.000000	# ud1(2,2,1,2)
2 2 1 3 0.000000	# ud1(2,2,1,3)
2 2 2 3 0.000000	# ud1(2,2,2,3)
2 3 1 1 0.000000	# ud1(2,3,1,1)
2 3 1 2 0.000000	# ud1(2,3,1,2)
2 3 1 3 0.000000	# ud1(2,3,1,3)
2 3 2 1 0.000000	# ud1(2,3,2,1)
2 3 2 2 0.000000	# ud1(2,3,2,2)
2 3 2 3 0.000000	# ud1(2,3,2,3)
2 3 3 1 0.000000	# ud1(2,3,3,1)
2 3 3 2 0.000000	# ud1(2,3,3,2)
2 3 3 3 0.000000	# ud1(2,3,3,3)
3 3 1 2 0.000000	# ud1(3,3,1,2)
3 3 1 3 0.000000	# ud1(3,3,1,3)
3 3 2 3 0.000000	# ud1(3,3,2,3)
Block WCUD8
1 1 1 1 0.000000	# ud8(1,1,1,1)
1 1 1 2 0.000000	# ud8(1,1,1,2)
1 1 1 3 0.000000	# ud8(1,1,1,3)
1 1 2 2 0.000000	# ud8(1,1,2,2)
1 1 2 3 0.000000	# ud8(1,1,2,3)
1 1 3 3 0.000000	# ud8(1,1,3,3)
1 2 1 1 0.000000	# ud8(1,2,1,1)
1 2 1 2 0.000000	# ud8(1,2,1,2)
1 2 1 3 0.000000	# ud8(1,2,1,3)
1 2 2 1 0.000000	# ud8(1,2,2,1)
1 2 2 2 0.000000	# ud8(1,2,2,2)
1 2 2 3 0.000000	# ud8(1,2,2,3)
1 2 3 1 0.000000	# ud8(1,2,3,1)
1 2 3 2 0.000000	# ud8(1,2,3,2)
1 2 3 3 0.000000	# ud8(1,2,3,3)
1 3 1 1 0.000000	# ud8(1,3,1,1)
1 3 1 2 0.000000	# ud8(1,3,1,2)
1 3 1 3 0.000000	# ud8(1,3,1,3)
1 3 2 1 0.000000	# ud8(1,3,2,1)
1 3 2 2 0.000000	# ud8(1,3,2,2)
1 3 2 3 0.000000	# ud8(1,3,2,3)
1 3 3 1 0.000000	# ud8(1,3,3,1)
1 3 3 2 0.000000	# ud8(1,3,3,2)
1 3 3 3 0.000000	# ud8(1,3,3,3)
2 2 1 1 0.000000	# ud8(2,2,1,1)
2 2 1 2 0.000000	# ud8(2,2,1,2)
2 2 1 3 0.000000	# ud8(2,2,1,3)
2 2 2 2 0.000000	# ud8(2,2,2,2)
2 2 2 3 0.000000	# ud8(2,2,2,3)
2 2 3 3 0.000000	# ud8(2,2,3,3)
2 3 1 1 0.000000	# ud8(2,3,1,1)
2 3 1 2 0.000000	# ud8(2,3,1,2)
2 3 1 3 0.000000	# ud8(2,3,1,3)
2 3 2 1 0.000000	# ud8(2,3,2,1)
2 3 2 2 0.000000	# ud8(2,3,2,2)
2 3 2 3 0.000000	# ud8(2,3,2,3)
2 3 3 1 0.000000	# ud8(2,3,3,1)
2 3 3 2 0.000000	# ud8(2,3,3,2)
2 3 3 3 0.000000	# ud8(2,3,3,3)
3 3 1 1 0.000000	# ud8(3,3,1,1)
3 3 1 2 0.000000	# ud8(3,3,1,2)
3 3 1 3 0.000000	# ud8(3,3,1,3)
3 3 2 2 0.000000	# ud8(3,3,2,2)
3 3 2 3 0.000000	# ud8(3,3,2,3)
3 3 3 3 0.000000	# ud8(3,3,3,3)
Block IMWCUD8
1 1 1 2 0.000000	# ud8(1,1,1,2)
1 1 1 3 0.000000	# ud8(1,1,1,3)
1 1 2 3 0.000000	# ud8(1,1,2,3)
1 2 1 1 0.000000	# ud8(1,2,1,1)
1 2 1 2 0.000000	# ud8(1,2,1,2)
1 2 1 3 0.000000	# ud8(1,2,1,3)
1 2 2 1 0.000000	# ud8(1,2,2,1)
1 2 2 2 0.000000	# ud8(1,2,2,2)
1 2 2 3 0.000000	# ud8(1,2,2,3)
1 2 3 1 0.000000	# ud8(1,2,3,1)
1 2 3 2 0.000000	# ud8(1,2,3,2)
1 2 3 3 0.000000	# ud8(1,2,3,3)
1 3 1 1 0.000000	# ud8(1,3,1,1)
1 3 1 2 0.000000	# ud8(1,3,1,2)
1 3 1 3 0.000000	# ud8(1,3,1,3)
1 3 2 1 0.000000	# ud8(1,3,2,1)
1 3 2 2 0.000000	# ud8(1,3,2,2)
1 3 2 3 0.000000	# ud8(1,3,2,3)
1 3 3 1 0.000000	# ud8(1,3,3,1)
1 3 3 2 0.000000	# ud8(1,3,3,2)
1 3 3 3 0.000000	# ud8(1,3,3,3)
2 2 1 2 0.000000	# ud8(2,2,1,2)
2 2 1 3 0.000000	# ud8(2,2,1,3)
2 2 2 3 0.000000	# ud8(2,2,2,3)
2 3 1 1 0.000000	# ud8(2,3,1,1)
2 3 1 2 0.000000	# ud8(2,3,1,2)
2 3 1 3 0.000000	# ud8(2,3,1,3)
2 3 2 1 0.000000	# ud8(2,3,2,1)
2 3 2 2 0.000000	# ud8(2,3,2,2)
2 3 2 3 0.000000	# ud8(2,3,2,3)
2 3 3 1 0.000000	# ud8(2,3,3,1)
2 3 3 2 0.000000	# ud8(2,3,3,2)
2 3 3 3 0.000000	# ud8(2,3,3,3)
3 3 1 2 0.000000	# ud8(3,3,1,2)
3 3 1 3 0.000000	# ud8(3,3,1,3)
3 3 2 3 0.000000	# ud8(3,3,2,3)
Block WCLE
1 1 1 1 0.000000	# le(1,1,1,1)
1 1 1 2 0.000000	# le(1,1,1,2)
1 1 1 3 0.000000	# le(1,1,1,3)
1 1 2 2 0.000000	# le(1,1,2,2)
1 1 2 3 0.000000	# le(1,1,2,3)
1 1 3 3 0.000000	# le(1,1,3,3)
1 2 1 1 0.000000	# le(1,2,1,1)
1 2 1 2 0.000000	# le(1,2,1,2)
1 2 1 3 0.000000	# le(1,2,1,3)
1 2 2 1 0.000000	# le(1,2,2,1)
1 2 2 2 0.000000	# le(1,2,2,2)
1 2 2 3 0.000000	# le(1,2,2,3)
1 2 3 1 0.000000	# le(1,2,3,1)
1 2 3 2 0.000000	# le(1,2,3,2)
