Block SCALES
1 10000	# UV scale [GeV]
1 1 0.000000	# eB(1,1)
1 2 0.000000	# eB(1,2)
1 3 0.000000	# eB(1,3)
2 1 0.000000	# eB(2,1)
2 2 0.000000	# eB(2,2)
2 3 0.000000	# eB(2,3)
3 1 0.000000	# eB(3,1)
3 2 0.000000	# eB(3,2)
3 3 0.000000	# eB(3,3)
Block IMWCEB
1 1 -1.000498E-7	# eB(1,1)
1 2 0.000000	# eB(1,2)
1 3 0.000000	# eB(1,3)
2 1 0.000000	# eB(2,1)
2 2 -0.000021	# eB(2,2)
2 3 0.000000	# eB(2,3)
3 1 0.000000	# eB(3,1)
3 2 0.000000	# eB(3,2)
3 3 -0.000348	# eB(3,3)
Block WCUG
1 1 0.000000	# uG(1,1)
1 2 0.000000	# uG(1,2)
1 3 0.000000	# uG(1,3)
2 1 0.000000	# uG(2,1)
2 2 0.000000	# uG(2,2)
2 3 0.000000	# uG(2,3)
3 1 0.000000	# uG(3,1)
3 2 0.000000	# uG(3,2)
3 3 0.000000	# uG(3,3)
Block IMWCUG
1 1 0.000000	# uG(1,1)
1 2 0.000000	# uG(1,2)
1 3 0.000000	# uG(1,3)
2 1 0.000000	# uG(2,1)
2 2 0.000000	# uG(2,2)
2 3 0.000000	# uG(2,3)
3 1 0.000000	# uG(3,1)
3 2 0.000000	# uG(3,2)
3 3 0.000000	# uG(3,3)
Block WCUW
1 1 0.000000	# uW(1,1)
1 2 0.000000	# uW(1,2)
1 3 0.000000	# uW(1,3)
2 1 0.000000	# uW(2,1)
2 2 0.000000	# uW(2,2)
2 3 0.000000	# uW(2,3)
3 1 0.000000	# uW(3,1)
3 2 0.000000	# uW(3,2)
3 3 0.000000	# uW(3,3)
Block IMWCUW
1 1 0.000000	# uW(1,1)
1 2 0.000000	# uW(1,2)
1 3 0.000000	# uW(1,3)
2 1 0.000000	# uW(2,1)
2 2 0.000000	# uW(2,2)
2 3 0.000000	# uW(2,3)
3 1 0.000000	# uW(3,1)
3 2 0.000000	# uW(3,2)
3 3 0.000000	# uW(3,3)
Block WCUB
1 1 0.000000	# uB(1,1)
1 2 -1.267216E-8	# uB(1,2)
1 3 -0.000043	# uB(1,3)
2 1 0.000000	# uB(2,1)
2 2 -2.925854E-9	# uB(2,2)
2 3 -0.000010	# uB(2,3)
3 1 -5.327115E-10	# uB(3,1)
3 2 1.100443E-14	# uB(3,2)
3 3 0.000000	# uB(3,3)
Block IMWCUB
1 1 1.545203E-7	# uB(1,1)
1 2 -0.000021	# uB(1,2)
1 3 0.000107	# uB(1,3)
2 1 3.567707E-8	# uB(2,1)
2 2 0.000089	# uB(2,2)
