Block SCALES
2 80.385	# EW scale [GeV]
49 0.000000	# C9'(sbuu)
50 0.000000	# C10'(sbuu)
51 6.081970E-8	# C1'(sbdd)
52 3.476587E-7	# C2'(sbdd)
53 -8.530874E-9	# C3'(sbdd)
54 -6.655392E-9	# C4'(sbdd)
55 0.000000	# C5'(sbdd)
56 0.000000	# C6'(sbdd)
57 0.000000	# C7'(sbdd)
58 0.000000	# C8'(sbdd)
59 0.000000	# C9'(sbdd)
60 0.000000	# C10'(sbdd)
61 1.957388E-8	# C1'(sbcc)
62 3.066558E-7	# C2'(sbcc)
63 -1.823702E-9	# C3'(sbcc)
64 -3.159722E-9	# C4'(sbcc)
65 0.000000	# C5'(sbcc)
66 0.000000	# C6'(sbcc)
67 0.000000	# C7'(sbcc)
68 0.000000	# C8'(sbcc)
69 0.000000	# C9'(sbcc)
70 0.000000	# C10'(sbcc)
71 -8.495048E-7	# C1'(sbss)
72 2.025823E-7	# C3'(sbss)
73 -4.090176E-7	# C5'(sbss)
74 1.022544E-7	# C7'(sbss)
75 6.390901E-9	# C9'(sbss)
76 6.788961E-7	# C1'(sbbb)
77 -1.795177E-7	# C3'(sbbb)
78 0.000015	# C5'(sbbb)
79 -8.033956E-7	# C7'(sbbb)
80 -5.349498E-8	# C9'(sbbb)
Block BS1GB
1 3.187050E-8	# C7gamma
2 -4.208500E-8	# C8gluon
3 5.834594E-8	# C7gamma'
4 -8.991616E-8	# C7gluon'
Block IMBS1GB
1 -5.643888E-8	# C7gamma
2 2.338271E-7	# C8gluon
3 8.709505E-8	# C7gamma'
4 -3.925452E-7	# C7gluon'
Block BS1SL
1 8.135015E-6	# C1(sbee)
2 -8.420992E-7	# C3(sbee)
3 0.000000	# C5(sbee)
4 0.000000	# C7(sbee)
5 0.000000	# C9(sbee)
6 8.135015E-6	# C1(sbmumu)
7 -8.420992E-7	# C3(sbmumu)
8 0.000000	# C5(sbmumu)
9 0.000000	# C7(sbmumu)
10 0.000000	# C9(sbmumu)
11 8.135004E-6	# C1(sbtautau)
12 -8.420963E-7	# C3(sbtautau)
13 0.000000	# C5(sbtautau)
14 0.000000	# C7(sbtautau)
15 0.000000	# C9(sbtautau)
16 1.011809E-9	# C1'(sbee)
17 4.132437E-13	# C3'(sbee)
18 0.000000	# C5'(sbee)
19 0.000000	# C7'(sbee)
20 0.000000	# C9'(sbee)
21 1.011809E-9	# C1'(sbmumu)
22 4.132437E-13	# C3'(sbmumu)
23 0.000000	# C5'(sbmumu)
24 0.000000	# C7'(sbmumu)
25 0.000000	# C9'(sbmumu)
26 1.011809E-9	# C1'(sbtautau)
27 4.132437E-13	# C3'(sbtautau)
28 0.000000	# C5'(sbtautau)
29 0.000000	# C7'(sbtautau)
30 0.000000	# C9'(sbtautau)
Block IMBS1SL
1 0.000037	# C1(sbee)
2 -3.866652E-6	# C3(sbee)
3 0.000000	# C5(sbee)
4 0.000000	# C7(sbee)
5 0.000000	# C9(sbee)
6 0.000037	# C1(sbmumu)
7 -3.866652E-6	# C3(sbmumu)
8 0.000000	# C5(sbmumu)
9 0.000000	# C7(sbmumu)
10 0.000000	# C9(sbmumu)
11 0.000037	# C1(sbtautau)
12 -3.866639E-6	# C3(sbtautau)
13 0.000000	# C5(sbtautau)
14 0.000000	# C7(sbtautau)
15 0.000000	# C9(sbtautau)
16 3.865967E-9	# C1'(sbee)
17 -5.280407E-14	# C3'(sbee)
18 0.000000	# C5'(sbee)
19 0.000000	# C7'(sbee)
20 0.000000	# C9'(sbee)
21 3.865967E-9	# C1'(sbmumu)
22 -5.280407E-14	# C3'(sbmumu)
23 0.000000	# C5'(sbmumu)
24 0.000000	# C7'(sbmumu)
25 0.000000	# C9'(sbmumu)
26 3.865967E-9	# C1'(sbtautau)
27 -5.280407E-14	# C3'(sbtautau)
28 0.000000	# C5'(sbtautau)
29 0.000000	# C7'(sbtautau)
30 0.000000	# C9'(sbtautau)
