Block SCALES
1 10000	# UV scale [GeV]
48 0.000000	# C8'(sbuu)
49 0.000000	# C9'(sbuu)
50 0.000000	# C10'(sbuu)
51 3.980785E-8	# C1'(sbdd)
52 1.326951E-8	# C2'(sbdd)
53 -6.634716E-9	# C3'(sbdd)
54 -3.317383E-9	# C4'(sbdd)
55 0.000000	# C5'(sbdd)
56 0.000000	# C6'(sbdd)
57 0.000000	# C7'(sbdd)
58 0.000000	# C8'(sbdd)
59 0.000000	# C9'(sbdd)
60 0.000000	# C10'(sbdd)
61 -6.199987E-13	# C1'(sbcc)
62 -1.904800E-12	# C2'(sbcc)
63 2.653531E-14	# C3'(sbcc)
64 1.190500E-13	# C4'(sbcc)
65 0.000000	# C5'(sbcc)
66 0.000000	# C6'(sbcc)
67 0.000000	# C7'(sbcc)
68 0.000000	# C8'(sbcc)
69 0.000000	# C9'(sbcc)
70 0.000000	# C10'(sbcc)
71 -8.952811E-7	# C1'(sbss)
72 2.238200E-7	# C3'(sbss)
73 -2.887151E-12	# C5'(sbss)
74 7.217878E-13	# C7'(sbss)
75 4.511174E-14	# C9'(sbss)
76 8.753752E-7	# C1'(sbbb)
77 -2.188438E-7	# C3'(sbbb)
78 8.201997E-6	# C5'(sbbb)
79 3.581614E-13	# C7'(sbbb)
80 2.238508E-14	# C9'(sbbb)
Block BS1GB
1 1.830825E-8	# C7gamma
2 0.000000	# C8gluon
3 3.087196E-8	# C7gamma'
4 0.000000	# C7gluon'
Block IMBS1GB
1 3.200267E-10	# C7gamma
2 0.000000	# C8gluon
3 -7.011233E-9	# C7gamma'
4 0.000000	# C7gluon'
Block BS1SL
1 8.028340E-6	# C1(sbee)
2 -8.425538E-7	# C3(sbee)
3 0.000000	# C5(sbee)
4 0.000000	# C7(sbee)
5 0.000000	# C9(sbee)
6 8.028340E-6	# C1(sbmumu)
7 -8.425538E-7	# C3(sbmumu)
8 0.000000	# C5(sbmumu)
9 0.000000	# C7(sbmumu)
10 0.000000	# C9(sbmumu)
11 8.028328E-6	# C1(sbtautau)
12 -8.425509E-7	# C3(sbtautau)
13 0.000000	# C5(sbtautau)
14 0.000000	# C7(sbtautau)
15 0.000000	# C9(sbtautau)
16 -3.948020E-12	# C1'(sbee)
17 4.134572E-13	# C3'(sbee)
18 0.000000	# C5'(sbee)
19 0.000000	# C7'(sbee)
20 0.000000	# C9'(sbee)
21 -3.948020E-12	# C1'(sbmumu)
22 4.134572E-13	# C3'(sbmumu)
23 0.000000	# C5'(sbmumu)
24 0.000000	# C7'(sbmumu)
25 0.000000	# C9'(sbmumu)
26 -3.948020E-12	# C1'(sbtautau)
27 4.134572E-13	# C3'(sbtautau)
28 0.000000	# C5'(sbtautau)
29 0.000000	# C7'(sbtautau)
30 0.000000	# C9'(sbtautau)
Block IMBS1SL
1 0.000037	# C1(sbee)
2 -3.868740E-6	# C3(sbee)
3 0.000000	# C5(sbee)
4 0.000000	# C7(sbee)
5 0.000000	# C9(sbee)
6 0.000037	# C1(sbmumu)
7 -3.868740E-6	# C3(sbmumu)
8 0.000000	# C5(sbmumu)
9 0.000000	# C7(sbmumu)
10 0.000000	# C9(sbmumu)
11 0.000037	# C1(sbtautau)
12 -3.868727E-6	# C3(sbtautau)
13 0.000000	# C5(sbtautau)
14 0.000000	# C7(sbtautau)
15 0.000000	# C9(sbtautau)
16 5.044760E-13	# C1'(sbee)
